id,description,part_category,part_family_id,part_family_description,supplier,supplier_id,crm_supplier_id,supplier_address_id
ABC-920-81C1D4C0,"Nano Film, 5"" dim",Assembly,BD307A3EC3,Hephaestus,,,,
ABC-910-D17C20D7,"Bolt, 31.987 - Be1",Assembly,CA3512F4DF,Zeus,,,,
ABC-710-0D0C3ED0,"Wire, 19"" dim",Assembly,CB4E5208B4,Apollo,,,,
ABC-710-84C20589,"Bolt, 1%sec",Assembly,CB4E5208B4,Apollo,,,,
ABC-720-D780DC14,"Screw, 7"" dim",Assembly,CB4E5208B4,Apollo,,,,
ABC-735-57DFA2A0,"Power Port, 19"" dim",Assembly,CB4E5208B4,Apollo,,,,
ABC-910-0D57294F,"Heatsink, 27.987 - SK8",Assembly,CB4E5208B4,Apollo,,,,
ABC-910-32042A64,"Faceplate, 1%sec",Assembly,CB4E5208B4,Apollo,,,,
ABC-910-7E843511,"Heatsink, 27.987 - SK8",Assembly,CB4E5208B4,Apollo,,,,
ABC-910-EA05EA1F,"Power Port, 31.97 - Be1",Assembly,CB4E5208B4,Apollo,,,,
ABC-920-CC2A8333,"Cap, Thick 243K Ohm",Assembly,CB4E5208B4,Apollo,,,,
ABC-920-D780DC14,"Meter, Micro 3K Ohm",Assembly,CB4E5208B4,Apollo,,,,
ABC-710-76DC7215,"Power Port, 6.3 % nevi3",Assembly,CB7A1D775E,Tools,,,,
ABC-735-F08E7502,"Cap, 31.97 - Be1",Assembly,CB7A1D775E,Tools,,,,
ABC-910-47926045,"Cap, 31.97 - Be1",Assembly,CB7A1D775E,Tools,,,,
ABC-710-1F80F465,"Faceplate, 3"" dim",Assembly,DA4B9237BA,Chassis,,,,
ABC-710-3ADEFBD2,"Cap, 27.987 - SK8",Assembly,DA4B9237BA,Chassis,,,,
ABC-735-416EA4A2,"Board, 8.3 % nevi2",Assembly,DA4B9237BA,Chassis,,,,
ABC-735-7E843511,"Cap, 27.987 - SK8",Assembly,DA4B9237BA,Chassis,,,,
ABC-745-C9886967,"Cap, 27.987 - SK8",Assembly,DA4B9237BA,Chassis,,,,
ABC-910-EAE8F03A,"Faceplate, 3"" dim",Assembly,DA4B9237BA,Chassis,,,,
ABC-920-C1260723,"Heatsink, 1%sec",Assembly,F1F836CB4E,Aphrodite,,,,
ABC-735-2D1B5B35,"Board, 23"" dim",Assembly,F6E1126CED,Poseidon,,,,
ABC-910-B93E97FD,"Faceplate, 7"" dim",Assembly,F6E1126CED,Poseidon,,,,
ABC-410-D17C20D7,"Board, 14"" dim",Assembly,FA35E19212,Hermes,,,,
ABC-410-FC7A7565,"Board, Thick 243K Ohm",Assembly,FA35E19212,Hermes,,,,
ABC-720-9EFD9DE0,"Faceplate, 23"" dim",Assembly,FA35E19212,Hermes,,,,
ABC-910-12E6AD33,"Wire, Thick 23K Ohm",Assembly,FA35E19212,Hermes,,,,
ABC-910-2D1B5B35,"Screw, 5"" dim",Assembly,FA35E19212,Hermes,,,,
ABC-910-5AFE5729,"Power Port, 27.987 - SK8",Assembly,FA35E19212,Hermes,,,,
ABC-910-8A11AEE0,"Board, 14"" dim",Assembly,FA35E19212,Hermes,,,,
ABC-910-90AA4C70,"Meter, 1%sec",Assembly,FA35E19212,Hermes,,,,
ABC-910-C3CB45EC,"Power Port, 27.987 - SK8",Assembly,FA35E19212,Hermes,,,,
ABC-910-EC26816E,"Screw, 5"" dim",Assembly,FA35E19212,Hermes,,,,
ABC-410-ACBBC0F2,"Screw, 17.386 - Av2",Assembly,FB64435156,Heracles,,,,
ABC-720-52AE234C,"Meter, Thin 43K Ohm",Assembly,FB64435156,Heracles,,,,
ABC-745-2337060C,"Meter, Thin 43K Ohm",Assembly,FB64435156,Heracles,,,,
ABC-910-435F10D9,"Board, 31.97 - Be1",Assembly,FB64435156,Heracles,,,,
ABC-910-63261365,"Meter, Thin 43K Ohm",Assembly,FB64435156,Heracles,,,,
ABC-910-70C1817F,"Board, 31.97 - Be1",Assembly,FB64435156,Heracles,,,,
ABC-920-59E410C7,"Bolt, 3"" dim",Assembly,FB64435156,Heracles,,,,
ABC-920-9BCEA448,"Meter, 33"" dim",Assembly,FB64435156,Heracles,,,,
ABC-410-C0FD86A5,"Cap, 8.3 % nevi2",Assembly,FE2EF495A1,Atlas,,,,
ABC-710-3474937B,"Meter, 8.3 % nevi2",Assembly,FE2EF495A1,Atlas,,,,
ABC-720-8939FB62,"Cap, 14"" dim",Assembly,FE2EF495A1,Atlas,,,,
ABC-720-CB050940,"Cap, Micro 3K Ohm",Assembly,FE2EF495A1,Atlas,,,,
ABC-750-32042A64,"Screw, 1.987 - Cra8",Assembly,FE2EF495A1,Atlas,,,,
ABC-910-DB68683E,"Faceplate, 8.3 % nevi2",Assembly,FE2EF495A1,Atlas,,,,
ABC-920-373772F8,"Cap, 14"" dim",Assembly,FE2EF495A1,Atlas,,,,
ABC-920-4841EA0C,"Cap, 14"" dim",Assembly,FE2EF495A1,Atlas,,,,
ABC-920-6A5A39CA,"Screw, 4"" dim",Assembly,FE2EF495A1,Atlas,,,,
ABC-410-0C9011A4,"Bolt, 23"" dim",Assembly,FE5DBBCEA5,Hard Drive,,,,
ABC-750-119B019B,"Nano Film, 7"" dim",Assembly,FE5DBBCEA5,Hard Drive,,,,
ABC-910-6CA25EC5,"Bolt, 23"" dim",Assembly,FE5DBBCEA5,Hard Drive,,,,
ABC-910-A6126DF9,"Cap, 1.987 - Cra8",Assembly,FE5DBBCEA5,Hard Drive,,,,
ABC-920-01140595,"Bolt, 23"" dim",Assembly,FE5DBBCEA5,Hard Drive,,,,
ABC-920-CAC6F84D,"Nano Film, 7"" dim",Assembly,FE5DBBCEA5,Hard Drive,,,,
