ID,Description,PartCategory,PartFamilyID,PartFamilyDescription,Supplier,SupplierID,CRMSupplierID,SupplierAddressID
ABC-240-0C9011A4,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-240-5D97172A,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-240-71F976F3,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-240-727BB149,"Cap, 3"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-250-0A620481,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-250-419BBD29,"Screw, 2"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-250-48A6F5F4,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-250-727BB149,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-250-76DC7215,"Cap, 34.987 - Av1",N/A,12C6FC06C9,Accessory,,,,
ABC-250-84C20589,"Wire, Thick 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-250-8A15CA25,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-250-9B52731B,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-250-DF458CBC,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-250-E6E58F5B,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-310-1A34A1BB,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-310-1AD38773,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
ABC-310-3C4D5D76,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-310-4B008F30,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-310-4BC59EE7,"Screw, 2"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-310-57DFA2A0,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-310-70C1817F,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
ABC-310-76DC7215,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-310-79008B79,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-310-8C6B99AB,"Cap, 34.987 - Av1",N/A,12C6FC06C9,Accessory,,,,
ABC-310-9C74C720,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-310-A91E5476,"Cap, 34.987 - Av1",N/A,12C6FC06C9,Accessory,,,,
ABC-310-AA4DD550,"Cap, 34.987 - Av1",N/A,12C6FC06C9,Accessory,,,,
ABC-310-B87E9CED,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
ABC-310-CA0D5B58,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-310-D3DA3788,"Cap, 3"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-310-E080FAA6,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-310-FA824C36,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-380-C634A167,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-3FEDA015-x,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-410-37B04168,"Wire, Thick 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-410-E93E3B39,"Heatsink, 6.3 % nevi3",Component,12C6FC06C9,Accessory,Parts Store,415497922,D87FAFA878,00182D197E
ABC-420-119B019B,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-420-36606A00,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-420-416EA4A2,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-420-56DC5E5F,"Cap, 3"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-420-8939FB62,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-420-C4A965E5,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-420-F45C3CB3,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-450-12E6AD33,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-450-171206AC,"Wire, Thick 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-450-30977508,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-450-3412CBA3,"Cap, 34.987 - Av1",N/A,12C6FC06C9,Accessory,,,,
ABC-450-3CF73442,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-450-4B96F8EF,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-450-4F95E326,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-450-59E0FEC5,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-450-5C5C8862,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
ABC-450-86DFB043,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-450-8E672159,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
ABC-450-C9886967,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-490-5D97172A,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
ABC-490-731AD768,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-490-86DFB043,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-490-CFBCB12B,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-510-52AE234C,"Wire, Thick 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-510-59E0FEC5,"Cap, 34.987 - Av1",N/A,12C6FC06C9,Accessory,,,,
ABC-510-8A11AEE0,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-520-13F7B5E8,"Screw, 2"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-520-1AD38773,"Screw, 2"" dim",Component,12C6FC06C9,Accessory,Circuits R Us,1485594365,752AC56921,0000397A48
ABC-520-2767D18E,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-520-3396B985,"Wire, Thick 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-520-4DD12271,"Cap, 34.987 - Av1",Component,12C6FC06C9,Accessory,Digitalus,1550304635,5192B86AF2,00006B1B5C
ABC-520-59E410C7,"Cap, 3"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-520-786DE586,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-520-8AB47B31,"Wire, Thin 43K Ohm",Component,12C6FC06C9,Accessory,Stimp Hardware,1277462715,6EEF664840,000036031A
ABC-520-A85763C7,"Board, 1.987 - Cra8",Component,12C6FC06C9,Accessory,Cesium Electronics,1490588195,B9CC46B098,000017E81E
ABC-520-E720A369,"Board, 1.987 - Cra8",Component,12C6FC06C9,Accessory,Electronica,481989692,EE2EF596E9,000FE1A50B
ABC-521575-4B2E3928,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-521575-91DFDE1D,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-530-0A620481,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-530-8A11AEE0,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-530-BEE38AD6,"Cap, 34.987 - Av1",N/A,12C6FC06C9,Accessory,,,,
ABC-535-40570BC3,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-540-2D1B5B35,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-540-435F10D9,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
ABC-540-4DD12271,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-540-54F6C293,"Cap, 34.987 - Av1",N/A,12C6FC06C9,Accessory,,,,
ABC-540-71F976F3,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-540-B0B2127A,"Cap, 3"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-540-B54F94A3,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-540-B79551BB,"Wire, Thick 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-540-C3CB45EC,"Cap, 3"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-540-E0D8DF08,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-540-E3A69F41,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-610-0C9011A4,"Cap, 34.987 - Av1",N/A,12C6FC06C9,Accessory,,,,
ABC-610-10592407,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-610-786DE586,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-620-DC4DD44D,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-710-1AD38773,"Cap, 3"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-710-2D1B5B35,"Wire, Thin 43K Ohm",Component,12C6FC06C9,Accessory,Cesium Electronics,1490588195,B9CC46B098,000017E81E
ABC-710-D4C518B0,"Wire, Thin 43K Ohm",Assembly,12C6FC06C9,Accessory,,,,
ABC-710-EE10EF49,"Heatsink, 6.3 % nevi3",Component,12C6FC06C9,Accessory,Kelv,1193274981,D5CFF47630,000035BA3A
ABC-710-FDE2A4C6,"Wire, Thin 43K Ohm",Assembly,12C6FC06C9,Accessory,,,,
ABC-720-0D0C3ED0,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-720-54F6C293,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-720-71F976F3,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-720-BC11D952,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-720-C1260723,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-720-D92FE298,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-735-1AD38773,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-735-3044D692,"Faceplate, 27.987 - SK8",Assembly,12C6FC06C9,Accessory,,,,
ABC-735-32042A64,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-735-6C2775B7,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
ABC-740-32C5898F,"Board, 1.987 - Cra8",Component,12C6FC06C9,Accessory,Cesium Electronics,1490588195,B9CC46B098,000017E81E
ABC-820-8A15CA25,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-850-C3CB45EC,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-870-5ABC18B9,"Cap, 34.987 - Av1",N/A,12C6FC06C9,Accessory,,,,
ABC-880-8A11AEE0,"Wire, Thick 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-880-EC26816E,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-910-3359D4EA,"Wire, Thick 243K Ohm",Assembly,12C6FC06C9,Accessory,,,,
ABC-910-3412CBA3,"Bolt, 19"" dim",Assembly,12C6FC06C9,Accessory,,,,
ABC-910-76DC7215,"Screw, 2"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-910-C0C20327,"Board, 1.987 - Cra8",Assembly,12C6FC06C9,Accessory,,,,
ABC-910-CA0D5B58,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-910-CAC6F84D,"Cap, 3"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-910-D92FE298,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-920-32042A64,"Heatsink, 4"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-920-79ED239A,"Meter, Macro 243K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-920-8A11AEE0,"Heatsink, 6.3 % nevi3",N/A,12C6FC06C9,Accessory,,,,
ABC-920-E667B536,"Wire, Thin 43K Ohm",Assembly,12C6FC06C9,Accessory,,,,
ABC-920-EC26816E,"Screw, 2"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-920-F5FF552B,"Heatsink, Thin 43K Ohm",Assembly,12C6FC06C9,Accessory,,,,
ABC-930-CA0D5B58,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-940-35510DE8,"Wire, 1%sec",N/A,12C6FC06C9,Accessory,,,,
ABC-MPI001188-x,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-MPI001343-x,"Wire, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-MPI007405-x,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-MPI013015-x,"Bolt, 19"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-MPI013623-x,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-MPI013630-x,"Screw, 2"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-MPI014104-x,"Heatsink, Thin 43K Ohm",N/A,12C6FC06C9,Accessory,,,,
ABC-MPI014106-x,"Board, 1.987 - Cra8",N/A,12C6FC06C9,Accessory,,,,
ABC-MPI014420-x,"Screw, 2"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-MPI015942-x,"Screw, 2"" dim",N/A,12C6FC06C9,Accessory,,,,
ABC-SPI001567-x,"Faceplate, 27.987 - SK8",N/A,12C6FC06C9,Accessory,,,,
ABC-000016-BBA5625F,"Bolt, 6.3 % nevi3",Component,5B384CE32D,Ares,Electronica,481989692,EE2EF596E9,000FE1A50B
ABC-000069-6FC978AF,"Bolt, 1.987 - Cra8",N/A,5B384CE32D,Ares,,,,
ABC-000086-24647271,"Bolt, 17.386 - Av2",N/A,5B384CE32D,Ares,,,,
ABC-000163-285157AC,"Wire, 2"" dim",Component,5B384CE32D,Ares,Cavplum,628557130,2BAD762EAE,00000C24E6
ABC-000164-285157AC,"Bolt, 1.987 - Cra8",Component,5B384CE32D,Ares,Hardware United,690386781,B5C20DC621,0003FAB478
ABC-08D2E98E-x,"Power Port, 1%sec",N/A,5B384CE32D,Ares,,,,
ABC-100-2192F949,"Heatsink, 33"" dim",N/A,5B384CE32D,Ares,,,,
ABC-110-2A100E25,"Meter, 3"" dim",N/A,5B384CE32D,Ares,,,,
ABC-110-F3E096CD,"Faceplate, 31.987 - Be1",N/A,5B384CE32D,Ares,,,,
ABC-120-0C4E6389,"Meter, 3"" dim",N/A,5B384CE32D,Ares,,,,
ABC-120-5BDF0A2D,"Screw, 14"" dim",N/A,5B384CE32D,Ares,,,,
ABC-170-E618015D,"Meter, 6.3 % nevi3",N/A,5B384CE32D,Ares,,,,
ABC-190-60EDEDC2,"Meter, 6.3 % nevi3",N/A,5B384CE32D,Ares,,,,
ABC-1BD751C7-x,"Board, 24.987 - Aba7",N/A,5B384CE32D,Ares,,,,
ABC-210-0D57294F,"Board, 27.987 - SK8",N/A,5B384CE32D,Ares,,,,
ABC-210-179FF2FE,"Wire, 2"" dim",N/A,5B384CE32D,Ares,,,,
ABC-210-44FD1DB5,"Meter, 3"" dim",N/A,5B384CE32D,Ares,,,,
ABC-210-63261365,"Board, 24.987 - Aba7",N/A,5B384CE32D,Ares,,,,
ABC-210-7AA21476,"Bolt, 1.987 - Cra8",N/A,5B384CE32D,Ares,,,,
ABC-210-8939FB62,"Bolt, 6.3 % nevi3",N/A,5B384CE32D,Ares,,,,
ABC-210-918D5FED,"Faceplate, 31.987 - Be1",N/A,5B384CE32D,Ares,,,,
ABC-210-E372902D,"Bolt, 1.987 - Cra8",N/A,5B384CE32D,Ares,,,,
ABC-220-16FA7AF6,"Meter, 3"" dim",N/A,5B384CE32D,Ares,,,,
ABC-220-1E771139,"Heatsink, 33"" dim",N/A,5B384CE32D,Ares,,,,
ABC-220-2337060C,"Wire, 2"" dim",N/A,5B384CE32D,Ares,,,,
ABC-220-4AE82779,"Power Port, 1%sec",N/A,5B384CE32D,Ares,,,,
ABC-220-661EFAE0,"Board, 24.987 - Aba7",N/A,5B384CE32D,Ares,,,,
ABC-220-7E3D0072,"Board, 19"" dim",N/A,5B384CE32D,Ares,,,,
ABC-220-9296C8F9,"Heatsink, 33"" dim",N/A,5B384CE32D,Ares,,,,
ABC-220-97199590,"Board, 24.987 - Aba7",N/A,5B384CE32D,Ares,,,,
ABC-220-A0A78A21,"Bolt, 24.987 - Aba7",N/A,5B384CE32D,Ares,,,,
ABC-220-AE1098BE,"Power Port, 1%sec",N/A,5B384CE32D,Ares,,,,
ABC-220-B0AD29AC,"Bolt, 17.386 - Av2",N/A,5B384CE32D,Ares,,,,
ABC-220-B0FE8E22,"Board, 19"" dim",N/A,5B384CE32D,Ares,,,,
ABC-220-B93E97FD,"Wire, 2"" dim",N/A,5B384CE32D,Ares,,,,
ABC-220-C5D34CBF,"Board, 19"" dim",N/A,5B384CE32D,Ares,,,,
ABC-220-CB31111E,"Heatsink, 33"" dim",N/A,5B384CE32D,Ares,,,,
ABC-220-DFB3228F,"Meter, 3"" dim",N/A,5B384CE32D,Ares,,,,
ABC-240-41D9A4A5,"Wire, 2"" dim",N/A,5B384CE32D,Ares,,,,
ABC-240-79ED239A,"Bolt, 6.3 % nevi3",N/A,5B384CE32D,Ares,,,,
ABC-240-C0FD86A5,"Bolt, 24.987 - Aba7",N/A,5B384CE32D,Ares,,,,
ABC-240-D6B27B64,"Bolt, 17.386 - Av2",N/A,5B384CE32D,Ares,,,,
ABC-250-32C5898F,"Bolt, 6.3 % nevi3",N/A,5B384CE32D,Ares,,,,
ABC-250-3359D4EA,"Board, 27.987 - SK8",N/A,5B384CE32D,Ares,,,,
ABC-250-435F10D9,"Bolt, 6.3 % nevi3",N/A,5B384CE32D,Ares,,,,
ABC-250-8174355A,"Wire, 2"" dim",N/A,5B384CE32D,Ares,,,,
ABC-250-D6B27B64,"Bolt, 24.987 - Aba7",N/A,5B384CE32D,Ares,,,,
ABC-280-8F7A4CF1,"Heatsink, 33"" dim",N/A,5B384CE32D,Ares,,,,
ABC-310-2AFB5669,"Board, 24.987 - Aba7",N/A,5B384CE32D,Ares,,,,
ABC-310-2E974413,"Faceplate, 31.987 - Be1",N/A,5B384CE32D,Ares,,,,
ABC-310-32C5898F,"Meter, 3"" dim",N/A,5B384CE32D,Ares,,,,
ABC-310-5ABC18B9,"Screw, 14"" dim",N/A,5B384CE32D,Ares,,,,
ABC-310-71727707,"Bolt, 1.987 - Cra8",N/A,5B384CE32D,Ares,,,,
ABC-310-7AA21476,"Heatsink, 33"" dim",N/A,5B384CE32D,Ares,,,,
ABC-310-7FE791D6,"Board, 27.987 - SK8",N/A,5B384CE32D,Ares,,,,
ABC-310-81C1D4C0,"Meter, 3"" dim",N/A,5B384CE32D,Ares,,,,
ABC-310-97199590,"Heatsink, 33"" dim",N/A,5B384CE32D,Ares,,,,
ABC-310-98C5A824,"Power Port, 1%sec",N/A,5B384CE32D,Ares,,,,
ABC-310-A4254EAB,"Heatsink, 33"" dim",N/A,5B384CE32D,Ares,,,,
ABC-310-C0C20327,"Faceplate, 31.987 - Be1",N/A,5B384CE32D,Ares,,,,
ABC-310-CB050940,"Bolt, 24.987 - Aba7",N/A,5B384CE32D,Ares,,,,
ABC-310-DD20B5BB,"Bolt, 24.987 - Aba7",N/A,5B384CE32D,Ares,,,,
ABC-310-E53F1C89,"Board, 19"" dim",N/A,5B384CE32D,Ares,,,,
ABC-310-EC26816E,"Bolt, 1.987 - Cra8",N/A,5B384CE32D,Ares,,,,
ABC-310-F5F1D68C,"Screw, 14"" dim",N/A,5B384CE32D,Ares,,,,
ABC-310-F5FF552B,"Board, 27.987 - SK8",N/A,5B384CE32D,Ares,,,,
ABC-410-0D0C3ED0,"Board, 19"" dim",N/A,5B384CE32D,Ares,,,,
ABC-410-2D1B5B35,"Bolt, 24.987 - Aba7",N/A,5B384CE32D,Ares,,,,
ABC-410-57DFA2A0,"Bolt, 24.987 - Aba7",Component,5B384CE32D,Ares,Sigbar,1762632449,C0BD210C60,0007A2F514
ABC-410-59E410C7,"Bolt, 6.3 % nevi3",Component,5B384CE32D,Ares,Parts Store,415497922,D87FAFA878,00182D197E
ABC-410-7EFCFF11,"Board, 19"" dim",N/A,5B384CE32D,Ares,,,,
ABC-410-81C1D4C0,"Bolt, 17.386 - Av2",Component,5B384CE32D,Ares,Sigbar,1762632449,C0BD210C60,0007A2F514
ABC-410-F22C976B,"Board, 24.987 - Aba7",Component,5B384CE32D,Ares,Parts Store,415497922,D87FAFA878,00182D197E
ABC-420-16093A66,"Faceplate, 31.987 - Be1",N/A,5B384CE32D,Ares,,,,
ABC-420-17BFB3B3,"Meter, 3"" dim",N/A,5B384CE32D,Ares,,,,
ABC-420-30977508,"Board, 27.987 - SK8",N/A,5B384CE32D,Ares,,,,
ABC-420-4CEC8A26,"Power Port, 1%sec",N/A,5B384CE32D,Ares,,,,
ABC-420-5AFE5729,"Power Port, 1%sec",N/A,5B384CE32D,Ares,,,,
ABC-420-7F1D6778,"Screw, 14"" dim",N/A,5B384CE32D,Ares,,,,
ABC-420-8174355A,"Heatsink, 33"" dim",N/A,5B384CE32D,Ares,,,,
ABC-420-85A5E355,"Board, 27.987 - SK8",N/A,5B384CE32D,Ares,,,,
ABC-420-8B0B742A,"Bolt, 6.3 % nevi3",N/A,5B384CE32D,Ares,,,,
ABC-420-9A1E6B06,"Meter, 6.3 % nevi3",N/A,5B384CE32D,Ares,,,,
